timestep,reward
18,0.0
1487,0.0
2950,0.0
4429,0.0
5916,0.0
7432,0.0
8885,0.0
10347,0.0
11835,0.0
13338,0.0
14803,0.0
16291,0.0
17750,0.0
19244,0.0
20771,0.0
22221,0.0
23772,0.0
25291,0.0
26825,0.0
28360,0.0
29864,0.0
31389,0.0
32899,0.0
34313,0.0
35790,0.0
37298,0.0
38874,0.0
40336,0.0
41849,0.0
43351,0.0
44861,0.0
46303,0.0
47820,0.0
49263,0.0
50685,0.0
52229,0.0
53716,0.0
55175,0.0
56700,0.0
58230,0.0
59719,0.0
61189,0.0
62654,0.0
64116,0.0
65588,0.0
67112,0.0
68521,0.0
69968,0.0
71416,0.0
72956,0.0
74499,0.0
76082,0.0
77633,0.0
79131,0.0
80610,0.0
82157,0.0
83631,0.0
85080,0.0
86551,0.0
88067,0.0
89604,0.0
91072,0.0
92536,0.0
94027,0.0
95510,0.0
96967,0.0
98526,0.0
100055,0.0
101586,0.0
103057,0.0
104533,0.0
106093,0.0
107600,0.0
109114,0.0
110597,0.0
112068,0.0
113535,0.0
115022,0.0
116478,0.0
118035,0.0
119500,0.0
121016,0.0
122438,0.0
123897,0.0
125400,0.0
126928,0.0
128408,0.0
129902,0.0
131377,0.0
132906,0.0
134409,0.0
135861,0.0
137287,0.0
138811,0.0
140239,0.0
141722,0.0
143213,0.0
144711,0.0
146147,0.0
147658,0.0
149187,0.0
150743,0.0
152241,0.0
153724,0.0
155216,0.0
156649,0.0
158108,0.0
159612,0.0
161091,0.0
162573,0.0
164016,0.0
165438,0.0
166898,0.0
168405,0.0
169838,0.0
171343,0.0
172826,0.0
174348,0.0
175859,0.0
177325,0.0
178788,0.0
180228,0.0
181766,0.0
183261,0.0
184717,0.0
186204,0.0
187697,0.0
189170,0.0
190673,0.0
192206,0.0
193700,0.0
195187,0.0
196716,0.0
198306,0.0
199789,0.0
201245,0.0
202679,0.0
204183,0.0
205696,0.0
207203,0.0
208705,0.0
210200,0.0
211691,0.0
213230,0.0
